# Total Phase Data Center(tm) v8.10,,,,,,,,,
# (c) 2005-2026 Total Phase, Inc.,,,,,,,,
# www.totalphase.com,,,,,,,,,
#,,,,,,,,,
# ,,,,,,,,,
#,,,,,,,,,
# Level,Index,m:s.ms.us,Dur,Len,Err,S/P,Addr,Record,Data,Description
0,35,5:04.555.599,88.550 us,1 B,,S,37,Write Transaction,BB,Set pointer nHibCfg (0x1BB)
0,36,5:04.555.688,128.200 us,2 B,,SP,37,Read Transaction,09 89*,"Read nHibCfg (0x1BB) = 0x8909 (EnHib=1 (hibernate enabled), HibEnterTime=0, HibThreshold=9, HibExitTime=1, HibScalar=1)"
0,37,5:04.555.823,168.750 us,3 B,,SP,37,Write Transaction,BB 09 09,"Write nHibCfg (0x1BB) = 0x0909 (EnHib=0 (hibernate disabled), HibEnterTime=0, HibThreshold=9, HibExitTime=1, HibScalar=1)"
0,38,5:04.555.999,88.300 us,1 B,,S,37,Write Transaction,BB,Set pointer nHibCfg (0x1BB)
0,39,5:04.556.088,128.150 us,2 B,,SP,37,Read Transaction,09 09*,"Read nHibCfg (0x1BB) = 0x0909 (EnHib=0 (hibernate disabled), HibEnterTime=0, HibThreshold=9, HibExitTime=1, HibScalar=1)"
0,40,5:04.556.371,88.550 us,1 B,,S,36,Write Transaction,18,Set pointer DesignCap (0x018)
0,41,5:04.556.460,128.150 us,2 B,,SP,36,Read Transaction,DC 05*,Read DesignCap (0x018) = 0x05DC (750 mAh)
0,42,5:04.556.644,169.100 us,3 B,,SP,36,Write Transaction,18 D8 0E,Write DesignCap (0x018) = 0x0ED8 (1900 mAh)
0,43,5:04.556.821,88.300 us,1 B,,S,36,Write Transaction,18,Set pointer DesignCap (0x018)
0,44,5:04.556.909,128.200 us,2 B,,SP,36,Read Transaction,D8 0E*,Read DesignCap (0x018) = 0x0ED8 (1900 mAh)
0,45,5:04.557.194,88.550 us,1 B,,S,36,Write Transaction,29,Set pointer IChgTerm (0x029)
0,46,5:04.557.282,128.150 us,2 B,,SP,36,Read Transaction,80 02*,Read IChgTerm (0x029) = 0x0280 (100 mA)
0,47,5:04.557.466,169.150 us,3 B,,SP,36,Write Transaction,29 80 0C,Write IChgTerm (0x029) = 0x0C80 (500 mA)
0,48,5:04.557.643,88.400 us,1 B,,S,36,Write Transaction,29,Set pointer IChgTerm (0x029)
0,49,5:04.557.732,128.200 us,2 B,,SP,36,Read Transaction,80 0C*,Read IChgTerm (0x029) = 0x0C80 (500 mA)
0,50,5:04.558.013,88.550 us,1 B,,S,36,Write Transaction,1F,Set pointer VEmpty (0x01F)
0,51,5:04.558.102,128.150 us,2 B,,SP,36,Read Transaction,61 A5*,"Read VEmpty (0x01F) = 0xA561 (VE=3300 mV, VR=3880 mV)"
0,52,5:04.558.285,169.100 us,3 B,,SP,36,Write Transaction,1F 61 AA,"Write VEmpty (0x01F) = 0xAA61 (VE=3400 mV, VR=3880 mV)"
0,53,5:04.558.462,88.450 us,1 B,,S,36,Write Transaction,1F,Set pointer VEmpty (0x01F)
0,54,5:04.558.550,128.150 us,2 B,,SP,36,Read Transaction,61 AA*,"Read VEmpty (0x01F) = 0xAA61 (VE=3400 mV, VR=3880 mV)"
0,55,5:04.558.834,88.350 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,56,5:04.558.922,128.150 us,2 B,,SP,36,Read Transaction,00 04*,"Read ModelCfg (0x0A3) = 0x0400 (VChg=1 (charge termination above 4.25V), ModelID=0 (lithium cobalt-oxide variants))"
0,57,5:04.559.107,169.100 us,3 B,,SP,36,Write Transaction,A3 00 80,"Write ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,58,5:04.559.283,88.400 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,59,5:04.559.372,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,60,5:04.559.507,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,61,5:04.559.595,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,62,5:04.560.858,88.350 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,63,5:04.560.946,128.150 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,64,5:04.562.858,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
0,65,5:04.562.947,128.200 us,2 B,,SP,36,Read Transaction,00 80*,"Read ModelCfg (0x0A3) = 0x8000 (Refresh=1 (model reload commanded), VChg=0 (charge termination 4.2V), ModelID=0 (lithium cobalt-oxide variants))"
0,66,5:04.564.859,88.300 us,1 B,,S,36,Write Transaction,A3,Set pointer ModelCfg (0x0A3)
